,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
315,"RT @tranxuillity: My country Greece is currently burning. There are no many tags on Twitter so many people don’t even know about the fire. Please, share the tags, this will help to spread the awareness, thank you. 
#PrayForGreece #greecefire #φωτιά_Αιγιάλεια https://t.co/4haeU37BJy",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jaq_ofSpdesa,708,TRUE,FALSE,NA,NA
316,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GregPSW,708,TRUE,FALSE,NA,NA
317,"RT @Panagiota_V: So, someone attacked the reporters of #opentv the ONLY channel who's speaking the truth of the Greek people and the police was there and didn't help,they were just watching.. @hellenicpolice 
#Greece #greeceisburning #greecefire #Greecewildfires #Πυρκαγια",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",RatingsNetwork,0,FALSE,FALSE,NA,NA
318,"RT @Sseokminie: 🆘️🔥🆘️🔥🆘️
Greece is burning. We need your help. Thread on how you can help us.⬇️⬇️⬇️
#Πυρκαγια #Αττικη #Athens 
#greeceisburning #Greecewildfires #greecefire 
#fire #wildfires #wildfire #wildfiresgreece #sos #greece #help_us #helpNOW https://t.co/n5Y23A3q45",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",market_fox,1,TRUE,FALSE,NA,NA
319,"RT @ArnaudBedat: Des images impressionnantes, apocalyptiques, des incendies en Grèce - ici sur le lac Eubée, depuis un ferry évacuant les populations. Une effroyable catastrophe, des drames sans fin. Quelle tristesse. Solidarité avec le peuple grec 🙏🏽 #greecefire #Πυρκαγια
https://t.co/KBt71cq2IQ",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Owldtaemi,708,TRUE,FALSE,NA,NA
320,"RT @ArnaudBedat: Des images impressionnantes, apocalyptiques, des incendies en Grèce - ici sur le lac Eubée, depuis un ferry évacuant les populations. Une effroyable catastrophe, des drames sans fin. Quelle tristesse. Solidarité avec le peuple grec 🙏🏽 #greecefire #Πυρκαγια
https://t.co/KBt71cq2IQ",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NewHeightTrades,0,FALSE,FALSE,NA,NA
321,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,1,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GerberKawasaki,2,FALSE,FALSE,NA,NA
322,RT @jcestars: ‼️GREECE IS BURNING - THREAD WITH LINKS TO DONATE TO / WAYS TO HELP❗PLEASE RT #φωτια #βαρυμπομπη #φωτια_Αιγιαλεια #PrayForGreece #greecefire https://t.co/kakPtjLfPM,FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",karenhbaxtre,708,TRUE,FALSE,NA,NA
323,"RT @maria_leonidou: «Πυροσβέστες από :
🇺🇦Ουκρανία 100
🇫🇷Γαλλία 82 + 2 Γαλλικά αεροσκάφη
🇨🇾Κύπρος 40 + 2 οχήματα
🇪🇬1 καναντέρ από την Κροατία, 
🇮🇱Ισραήλ 16
🇸🇪2 σουηδικά αεροσκάφη air tractor, 🇷🇴Ρουμανία 112 + 23 οχήματα 
🇨🇭3 ελικόπτερα από την Ελβετία.»
🙏#greecefire https://t.co/sj7nO03CJ8",FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",dunuprlera,708,TRUE,FALSE,NA,NA
324,"RT @sweetnergrande2: ⚠️🆘GREECE NEEDS YOUR HELP!!! DONATE IF U CAN 🆘⚠️

 #Πυρκαγια #greeceisburning #GreeceUnderAttack #φωτιες #BeARealHero #retweet #Greece #Athens #PrayForGreece #greecefire #taylor #helpgreece #greeceisburning #wildfires #usa #GreekFires https://t.co/bCSzs01tPw",FALSE,1,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tendollarcalls,1,FALSE,FALSE,NA,NA
325,RT @olivamarta8: Si imatges com aquesta no ens sacseja ni ens fa preguntar-nos què estem fent … potser ja ho tenim tot perdut 😓🙌🙏 #greecefire #Turkeyisburning #wildfires #californiawildfires https://t.co/8BPHF8caj2,FALSE,0,NA,8/2/2017 14:08,FALSE,NA,8.92749E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BenHillF_OX,708,TRUE,FALSE,NA,NA
